Point number,Y_y_EIS_ZReal_raw,Y_y_EIS_ZImaginary_raw,Y_y_EIS_ZMagnitude_raw,Y_y_EIS_ZPhase_raw,Y_y_EIS_ZPhase_raw_degree,P_y_Ripple_Frequency,P_y_Ripple_Amplitude,P_y_Ripple_Offset,P_y_Ripple_ControlMode,P_x_Goertzel_Frequency,P_x_Goertzel_DownsamplingRate,P_x_Goertzel_NumberOfPeriods,P_y_ScopeFrequencyHPCS,P_y_ScopeDurationHPCS,P_y_ScopePositionHPCS,Y_y_GoertzelVoltageReal,Y_y_GoertzelVoltageImaginary,Y_y_GoertzelCurrentReal,Y_y_GoertzelCurrentImaginary,Y_y_GoertzelCoefficient,Y_y_GoertzelProgress,StartTime,FinishTime,Duration[s],CurrentMagnitude,VoltageMagnitude,Y_y_EIS_ZReal,Y_y_EIS_ZImaginary,Y_y_EIS_ZMagnitude,Y_y_EIS_ZPhase
1.0,0.0004977807984687388,0.0010639417450875044,0.001174630830064416,1.133185863494873,64.92676738213977,0.0,0.0,70.0,0.0,5555.5556640625,2.0,7000.0,0.0,0.0,0.0,5449.02490234375,-2713.63525390625,-126638.0625,-5180794.0,1.946089744567871,100.0,20250408-152742,20250408-152801,19.371154,5.182341523800776,6087.33839026591,0.0004977807984687388,0.0010639417450875044,0.001174630903843424,64.92676501387143
2.0,0.00040098719182424247,0.0006117358570918441,0.0007314448012039065,0.9905708432197571,56.7555286252035,0.0,0.0,70.0,0.0,3030.302978515625,2.0,5000.0,0.0,0.0,0.0,951.7890625,-3402.297119140625,-3176851.25,-3638279.0,1.9839096069335938,100.0,20250408-152801,20250408-152821,19.772356,4.830057758088154,3532.9206198848037,0.00040098719182424247,0.0006117358570918441,0.0007314447941293895,56.75552959736015
3.0,0.00037027147482149303,0.0004306308401282877,0.0005679294699802995,0.8606202006340027,49.30990526002724,0.0,0.0,70.0,0.0,2083.333251953125,4.0,3000.0,0.0,0.0,0.0,2556.79931640625,947.9478149414062,4200747.5,-2325384.75,1.9696155786514282,100.0,20250408-152821,20250408-152840,19.57109,4.801426225017814,2726.8714315544203,-0.9996297285251785,0.0004306308401282877,0.9996298212809792,179.97531753263334
4.0,0.00034469575621187687,0.000258833373663947,0.00043105671647936106,0.644079327583313,36.90302714214539,0.0,0.0,70.0,0.0,1190.4761962890625,4.0,2500.0,0.0,0.0,0.0,-1416.59521484375,1483.535400390625,-561358.1875,4725424.0,1.990061640739441,100.0,20250408-152840,20250408-152901,20.172338,4.758650543426076,2051.248226551429,0.00034469575621187687,-0.999741166626336,0.9997412260492972,-89.98024527554769
5.0,0.0003284050617367029,0.000149977277033031,0.00036103057209402323,0.4283982515335083,24.545411763652258,0.0,0.0,70.0,0.0,653.5947875976562,10.0,1000.0,0.0,0.0,0.0,1312.8668212890625,1101.91015625,4575721.5,1265680.5,1.9812908172607422,100.0,20250408-152901,20250408-152920,19.668471,4.747544035987713,1714.0085422449174,0.0003284050617367029,0.000149977277033031,0.00036103056408084093,24.545412771344466
6.0,0.0003178913611918688,9.242688975064084e-05,0.0003310553729534149,0.2829490303993225,16.21178525919894,0.0,0.0,70.0,0.0,366.30035400390625,10.0,500.0,0.0,0.0,0.0,976.8899536132812,-1227.8934326171875,1797981.125,-4385382.5,1.994117259979248,100.0,20250408-152920,20250408-152940,19.468203,4.739653552440569,1569.0877169027162,0.0003178913611918688,9.242688975064084e-05,0.0003310553540865882,16.21178540768249
7.0,0.00031066476367414,5.6555734772700816e-05,0.0003157707105856389,0.18007543683052063,10.317562524362815,0.0,0.0,70.0,0.0,204.4989776611328,10.0,500.0,0.0,0.0,0.0,-1402.0477294921875,518.4462890625,-4074225.75,2410531.25,1.9981658458709717,100.0,20250408-152940,20250408-153000,20.569848,4.73391765551426,1494.8325626694368,0.00031066476367414,5.6555734772700816e-05,0.0003157707182820936,10.3175629028563
8.0,0.00030309311114251614,3.321790063637309e-05,0.0003049079386983067,0.10916069895029068,6.2544473385494,0.0,0.0,70.0,0.0,114.1552505493164,10.0,500.0,0.0,0.0,0.0,-1187.7861328125,-819.515625,-4165183.75,-2247352.25,1.999428391456604,100.0,20250408-153000,20250408-153023,22.478403,4.732794925500588,1443.0667887942036,0.00030309311114251614,3.321790063637309e-05,0.00030490795815251787,6.254446906626921
9.0,0.0003020578878931701,2.167478669434786e-05,0.0003028345527127385,0.07163427770137787,4.104341780756785,0.0,0.0,70.0,0.0,63.97952651977539,100.0,300.0,0.0,0.0,0.0,1087.23193359375,-931.6198120117188,3360794.5,-3325403.25,1.9820712804794312,100.0,20250408-153023,20250408-153046,22.777256,4.727922000873197,1431.778178196174,0.0003020578878931701,2.167478669434786e-05,0.00030283454891529205,4.104341946688304
10.0,0.0002995434624608606,1.2348757991276216e-05,0.00029979791725054383,0.04120193049311638,2.360696725046784,0.0,0.0,70.0,0.0,35.727046966552734,100.0,300.0,0.0,0.0,0.0,471.8760681152344,-1338.7579345703125,1388708.125,-4526577.5,1.994403600692749,100.0,20250408-153046,20250408-153112,26.491126,4.734808773324143,1419.4857628855818,0.0002995434624608606,1.2348757991276216e-05,0.0002997978948007609,2.360696827000993
11.0,0.00030176600557751954,6.8179951995261945e-06,0.00030184301431290805,0.022589806467294693,1.2943005705932327,0.0,0.0,70.0,0.0,19.984012603759766,100.0,300.0,0.0,0.0,0.0,-200.72909545898438,1414.154296875,-559016.1875,4698891.5,1.9982484579086304,100.0,20250408-153112,20250408-153145,33.213853,4.732027094877975,1428.3292845607443,0.00030176600557751954,6.8179951995261945e-06,0.000301843017445745,1.2943005243086414
12.0,0.0002981309953611344,2.1606217615044443e-06,0.00029813882429152727,0.007247095927596092,0.41522801037767515,0.0,0.0,70.0,0.0,11.170687675476074,100.0,300.0,0.0,0.0,0.0,1303.8682861328125,534.0451049804688,4386226.0,1759522.25,1.9994527101516724,100.0,20250408-153145,20250408-153230,45.047652,4.725981069716749,1408.998467613261,0.0002981309953611344,2.1606217615044443e-06,0.0002981388245120334,0.41522801295813394
13.0,0.0002997794945258647,1.1072838788095396e-06,0.0002997815317939967,0.0036936441902071238,0.21163022312187094,0.0,0.0,70.0,0.0,6.245706081390381,250.0,100.0,0.0,0.0,0.0,-1160.6075439453125,813.44921875,-3861462.0,2727754.75,1.9989306926727295,100.0,20250408-153230,20250408-153303,32.210884,4.727740977844658,1417.28949144053,0.0002997794945258647,1.1072838788095396e-06,0.00029978153948462407,0.2116302336233217
