Point number,Y_y_EIS_ZReal_raw,Y_y_EIS_ZImaginary_raw,Y_y_EIS_ZMagnitude_raw,Y_y_EIS_ZPhase_raw,Y_y_EIS_ZPhase_raw_degree,P_y_Ripple_Frequency,P_y_Ripple_Amplitude,P_y_Ripple_Offset,P_y_Ripple_ControlMode,P_x_Goertzel_Frequency,P_x_Goertzel_DownsamplingRate,P_x_Goertzel_NumberOfPeriods,P_y_ScopeFrequencyHPCS,P_y_ScopeDurationHPCS,P_y_ScopePositionHPCS,Y_y_GoertzelVoltageReal,Y_y_GoertzelVoltageImaginary,Y_y_GoertzelCurrentReal,Y_y_GoertzelCurrentImaginary,Y_y_GoertzelCoefficient,Y_y_GoertzelProgress,StartTime,FinishTime,Duration[s],CurrentMagnitude,VoltageMagnitude,Y_y_EIS_ZReal,Y_y_EIS_ZImaginary,Y_y_EIS_ZMagnitude,Y_y_EIS_ZPhase
1.0,0.0022026095539331436,0.0030620680190622807,0.003771968884393573,0.9472206234931946,54.27174399390687,0.0,0.0,40.0,0.0,5555.5556640625,2.0,7000.0,0.0,0.0,0.0,17355.923828125,-9169.0908203125,713531.3125,-5154782.0,1.946089744567871,100.0,20250408-130033,20250408-130052,19.371533,5.2039316292051705,19629.068199963443,0.0022026095539331436,0.0030620680190622807,0.0037719689023693664,54.27174599236063
2.0,0.002213710220530629,0.001637811423279345,0.002753713633865118,0.6369727849960327,36.495852244964276,0.0,0.0,40.0,0.0,3030.302978515625,2.0,5000.0,0.0,0.0,0.0,-7646.73828125,-10904.337890625,-4587523.5,-1531744.875,1.9839096069335938,100.0,20250408-130052,20250408-130112,19.774788,4.8364877985105075,13318.302863910787,0.002213710220530629,0.001637811423279345,0.0027537137103747877,36.4958525228859
3.0,0.0022076438181102276,0.0011186657939106226,0.0024748947471380234,0.46901223063468933,26.872421355382304,0.0,0.0,40.0,0.0,2083.333251953125,4.0,3000.0,0.0,0.0,0.0,-11449.8828125,-2808.68505859375,-4639797.5,1078841.5,1.9696155786514282,100.0,20250408-130112,20250408-130132,19.570506,4.76357217045449,11789.339598906747,-0.9977923561818898,0.0011186657939106226,0.9977929832726654,179.93576338660378
4.0,0.0022008975502103567,0.00063774932641536,0.002291434910148382,0.2820432782173157,16.159889481885187,0.0,0.0,40.0,0.0,1190.4761962890625,4.0,2500.0,0.0,0.0,0.0,4196.62890625,9948.419921875,2967418.75,3660302.5,1.990061640739441,100.0,20250408-130132,20250408-130152,20.173164,4.712047159076171,10797.349356149058,0.0022008975502103567,-0.9993622506735846,0.999364674191258,-89.87381759034977
5.0,0.00219611800275743,0.00035521594691090286,0.002224660012871027,0.16035838425159454,9.187858627152888,0.0,0.0,40.0,0.0,653.5947875976562,10.0,1000.0,0.0,0.0,0.0,-6617.94091796875,8069.51904296875,-2357464.5,4055760.25,1.9812908172607422,100.0,20250408-130152,20250408-130211,19.672712,4.691143791682399,10436.20043782987,0.00219611800275743,0.00035521594691090286,0.0022246601203273937,9.187858870092432
6.0,0.0021916464902460575,0.00020020973170176148,0.002200772287324071,0.09109844267368317,5.219556285416177,0.0,0.0,40.0,0.0,366.30035400390625,10.0,500.0,0.0,0.0,0.0,9338.744140625,-4364.74072265625,4045375.0,-2361085.25,1.994117259979248,100.0,20250408-130211,20250408-130231,19.470771,4.683992148626273,10308.399667265117,0.0021916464902460575,0.00020020973170176148,0.002200772199678093,5.219556310218927
7.0,0.0021874536760151386,0.00011385733523638919,0.0021904148161411285,0.05200324207544327,2.9795662919198467,0.0,0.0,40.0,0.0,204.4989776611328,10.0,500.0,0.0,0.0,0.0,266.9774169921875,-10245.36328125,-121408.734375,-4677374.5,1.9981658458709717,100.0,20250408-130231,20250408-130251,20.572693,4.678949913605914,10248.84118844514,0.0021874536760151386,0.00011385733523638919,0.0021904148185901396,2.979566225934717
8.0,0.0021879232954233885,6.394573574652895e-05,0.002188857411965728,0.029218362644314766,1.6740888638018296,0.0,0.0,40.0,0.0,114.1552505493164,10.0,500.0,0.0,0.0,0.0,-9613.71484375,-3530.415283203125,-4437360.5,-1483902.625,1.999428391456604,100.0,20250408-130251,20250408-130314,22.481445,4.678903205607287,10241.452297834194,0.0021879232954233885,6.394573574652895e-05,0.002188857556757978,1.6740888986436042
9.0,0.0021869090851396322,3.271222522016615e-05,0.002187153557315469,0.014957085251808167,0.8569778587459197,0.0,0.0,40.0,0.0,63.97952651977539,100.0,300.0,0.0,0.0,0.0,-2480.80859375,-9922.4501953125,-1201989.875,-4519223.5,1.9820712804794312,100.0,20250408-130314,20250408-130337,22.778148,4.676340524657584,10227.875104697012,0.0021869090851396322,3.271222522016615e-05,0.0021871537294724207,0.8569778629579503
10.0,0.002188874641433358,1.6471054550493136e-05,0.00218893657438457,0.007524754386395216,0.431136668212971,0.0,0.0,40.0,0.0,35.727046966552734,100.0,300.0,0.0,0.0,0.0,-4258.1357421875,9323.603515625,-1913192.875,4273938.5,1.994403600692749,100.0,20250408-130337,20250408-130403,26.495604,4.6826122280980105,10249.941585954017,0.002188874641433358,1.6471054550493136e-05,0.0021889366120443087,0.4311366581522033
