Current_Amplitude,Current_Frequency,Current_Phase,Current_Offset,Current_ALIGNED,Voltage_Amplitude,Voltage_Frequency,Voltage_Phase,Voltage_Offset,Voltage_ALIGNED,Frequency,Impedance_amplitude,Impedance_phase,Impedance_real,Impedance_imag
98.95009737617335,35.7398141529664,354.72262577378336,-0.026637356529347688,NO,0.0005756764091745932,35.7398141529664,18.65478094073045,5.243385581535643e-06,NO,35.73,5.817845807529372e-06,-336.0678448330529,5.317664893828644e-06,2.3600359991172777e-06
98.42160190507227,64.02048655569781,2.6062816807675966,-0.06189797166801649,NO,0.0007045083997349928,64.02048655569781,43.19458974856626,5.687308303413955e-06,YES,63.98,7.15806678715199e-06,40.588308067798664,5.435865196643058e-06,4.6571761501207074e-06
98.84881706319987,114.1552511415525,203.46020555034855,-0.036132569235068905,NO,0.001030042602875424,114.1552511415525,258.0804776579679,6.04627634013843e-06,NO,114.2,1.0420383707949251e-05,54.62027210761934,6.033326427689795e-06,8.496079615789513e-06
92.41918746531194,204.91803278688522,334.7894820727996,-0.17003392614251528,NO,0.0015112876349060072,204.91803278688522,36.85392416261543,3.96863904660758e-06,YES,204.5,1.635253107449408e-05,-297.9355579101842,7.660804182086024e-06,1.4447053395970675e-05
78.51669031063913,364.963503649635,132.40060461460357,-0.1887158753705992,NO,0.0019985639224988543,364.963503649635,198.49333057605676,-1.2836766379895606e-06,NO,366.3,2.5454001112271103e-05,66.0927259614532,1.0315428762153594e-05,2.327011177619121e-05
80.45795924621267,651.315789473684,36.62479277500688,0.2324015283315787,YES,0.0032104447683358275,651.315789473684,107.07048453671875,2.3665950821184174e-06,NO,653.6,3.990214017871638e-05,70.44569176171187,1.335525425916212e-05,3.7600770929796955e-05
98.85755766737897,1190.4761904761904,70.01680385973549,-0.013651052593677269,NO,0.006517127395972725,1190.4761904761904,143.56392431109995,6.7462394019379755e-06,NO,1190.0,6.592442246955538e-05,73.54712045136446,1.8671557196581515e-05,6.32250142728272e-05
99.05454503076163,2083.333333333333,129.89800381736586,0.009840461325476231,NO,0.01065613102837725,2083.333333333333,205.2607457777034,6.666952360690846e-06,NO,2083.0,0.00010757841576141673,75.36274196033753,2.718491316348528e-05,0.00010408696380445536
99.06991699713028,3030.30303030303,142.6691327925172,0.007481379398101491,NO,0.014947120538637006,3030.30303030303,218.3708757132518,5.93209126638791e-06,NO,3030.0,0.00015087446312355318,75.7017429207346,3.7261396066684686e-05,0.00014620086178262446
99.04515386198689,5555.555555555555,205.4023410157653,-0.009162954425729168,NO,0.02626184365257499,5555.555555555555,279.6251936563599,5.315932113677088e-06,NO,5556.0,0.0002651502130954251,74.2228526405946,7.209339928946177e-05,0.00025516108105163606
