Current_Amplitude,Current_Frequency,Current_Phase,Current_Offset,Current_ALIGNED,Voltage_Amplitude,Voltage_Frequency,Voltage_Phase,Voltage_Offset,Voltage_ALIGNED,Frequency,Impedance_amplitude,Impedance_phase,Impedance_real,Impedance_imag
98.90010154975123,35.7398141529664,3.738000993151076,-0.025839518834500586,NO,0.027738052588892642,35.7398141529664,4.9668333682403745,-1.5841574357346805e-06,NO,35.73,0.00028046536003746315,1.2288323750892984,0.0002804008581220235,6.0147273734301516e-06
98.37554454805164,64.02048655569781,344.6654650075873,-0.05892386962822546,NO,0.027644840091494774,64.02048655569781,346.92398588736324,-1.2002709530425558e-05,NO,63.98,0.00028101333739496227,2.258520879775972,0.00028079504246125925,1.107429108496313e-05
98.80375389822673,114.1552511415525,165.6309977968793,-0.037789789047959814,NO,0.027915347281819766,114.1552511415525,169.5970863721392,-4.903624694149979e-06,NO,114.2,0.00028253326599892245,3.9660885752598745,0.00028185664460221105,1.9541706414762415e-05
92.46112395095419,204.91803278688522,58.15760564997062,-0.10163144553530065,NO,0.026463960667619357,204.91803278688522,64.88445255655935,-1.765758739700442e-05,NO,204.5,0.0002862171638931959,6.726846906588733,0.00028424680843438946,3.3526359807293095e-05
78.61442692813067,364.963503649635,204.3116086993728,-0.2631833794880476,NO,0.023050212556757873,364.963503649635,215.37714696642996,-6.253090504634314e-05,NO,366.3,0.00029320588417988956,11.06553826705715,0.0002877546833023919,5.627550759656416e-05
80.30141159625819,651.315789473684,122.17821946575167,-0.13938408297499952,NO,0.02475597410516139,651.315789473684,140.1533621070907,-5.80685250613158e-05,NO,653.6,0.00030828815599942636,17.97514264133902,0.0002932407626504548,9.513906794638196e-05
98.7803400154984,1190.4761904761904,109.17849521978457,0.01336073309810645,NO,0.03390560265865141,1190.4761904761904,137.85597061287007,1.5253122925311021e-05,NO,1190.0,0.00034324241699645603,28.6774753930855,0.00030113854661023673,0.00016471470053107978
98.95510649716095,2083.333333333333,12.091808441412871,-0.013818018390752609,NO,0.04155883877325863,2083.333333333333,53.514801829478564,1.9403791852473652e-06,YES,2083.0,0.0004199766969524808,41.42299338806569,0.00031491768585234286,0.00027786197494533325
98.97837714686916,3030.30303030303,259.258872243998,0.002193996634057867,NO,0.05103184460862231,3030.30303030303,309.32621220186036,1.3246187297573585e-06,NO,3030.0,0.0005155857883272693,50.06733995786237,0.00033094772770320916,0.0003953508652490016
98.93440268213902,5555.555555555555,50.68475526667657,0.004845432272891483,YES,0.07919405643735693,5555.555555555555,111.99166361130548,2.2737929986569684e-06,NO,5556.0,0.0008004703550067939,61.306908344628916,0.0003843200125740913,0.0007021758449133329
