Current_Amplitude,Current_Frequency,Current_Phase,Current_Offset,Current_ALIGNED,Voltage_Amplitude,Voltage_Frequency,Voltage_Phase,Voltage_Offset,Voltage_ALIGNED,Frequency,Impedance_amplitude,Impedance_phase,Impedance_real,Impedance_imag
98.94332159722659,35.7398141529664,5.176519220750494,-0.026077566580605435,NO,0.0005746462323584391,35.7398141529664,28.991889558942145,6.227562303548295e-06,NO,35.73,5.807832434589972e-06,23.81537033819165,5.313303509771793e-06,2.3451489081339855e-06
98.41845854281868,64.02048655569781,0.3367377859424122,-0.06202738699452928,NO,0.0007043448095652665,64.02048655569781,40.930089279020365,5.797906058596417e-06,YES,63.98,7.1566332169166095e-06,40.593351493077954,5.434366653561296e-06,4.65672181648584e-06
98.84419960396696,114.1552511415525,198.68784838154133,-0.036843195367727684,NO,0.0010311852273569794,114.1552511415525,253.31215996892885,6.2069380915903625e-06,NO,114.2,1.0432430344810991e-05,54.624311587387524,6.03970164289655e-06,8.506327466311528e-06
92.56077852741939,204.91803278688522,79.31499326705806,-0.03773537099117906,NO,0.0015139089564467757,204.91803278688522,141.159024392376,9.492727432489384e-06,NO,204.5,1.6355836462614764e-05,61.844031125317954,7.717883411923669e-06,1.442039049512017e-05
78.52383396941944,364.963503649635,133.57837239519333,-0.1930271963485886,NO,0.0020009261774460883,364.963503649635,199.58114704107493,1.8737619300554842e-07,NO,366.3,2.5481768735659736e-05,66.0027746458816,1.0363241749638742e-05,2.3279255966121222e-05
80.29126285451864,651.315789473684,111.7244050552392,-0.09361513526677631,NO,0.0032219288573104403,651.315789473684,181.85095445941872,-4.120487525542771e-06,NO,653.6,4.012801322042124e-05,70.12654940417951,1.364126962680638e-05,3.773821945968134e-05
98.84072742247095,1190.4761904761904,54.66498653277612,-0.021846089316335228,YES,0.006512975788704799,1190.4761904761904,128.08030420393527,7.088044618287043e-06,NO,1190.0,6.58936448420361e-05,73.41531767115916,1.8808165087881787e-05,6.315239786892796e-05
99.03260880106811,2083.333333333333,172.35662902017964,0.015447513948183484,NO,0.010639577029825022,2083.333333333333,247.5962000405211,5.464125850815415e-06,NO,2083.0,0.00010743508788299506,75.23957102034146,2.7372093137811084e-05,0.00010388968488585316
99.05944734281188,3030.30303030303,194.7557421249318,0.008668216328780587,NO,0.01491842909741044,3030.30303030303,270.33612027015033,5.5016614413526024e-06,NO,3030.0,0.0001506007705230043,75.58037814521853,3.750284172664563e-05,0.00014585653548795393
99.03453177246868,5555.555555555555,293.9554500912612,0.003091618042572135,NO,0.02619808303858047,5555.555555555555,8.067438435326936,6.381387687227933e-06,NO,5556.0,0.00026453483012138057,-285.88801165593424,7.241852118851776e-05,0.00025442923207881577
