Current_Amplitude,Current_Frequency,Current_Phase,Current_Offset,Current_ALIGNED,Voltage_Amplitude,Voltage_Frequency,Voltage_Phase,Voltage_Offset,Voltage_ALIGNED,Frequency,Impedance_amplitude,Impedance_phase,Impedance_real,Impedance_imag
98.94925733419296,35.7398141529664,345.4378053218193,-0.025114312751719874,NO,0.20239058750656957,35.7398141529664,345.87825139552206,-4.542055750052798e-05,NO,35.73,0.0020453977418244994,0.4404460737027307,0.002045337307195726,1.5723296540405822e-05
98.42893552953603,64.02048655569781,337.49850187425426,-0.056388283787447535,NO,0.20133960911630636,64.02048655569781,338.30701511815613,-0.00011029954145091039,NO,63.98,0.0020455327291016923,0.8085132439018707,0.0020453290726174566,2.886400062416402e-05
98.84766599357377,114.1552511415525,164.84868904726056,-0.03724474054806521,NO,0.2022490921632018,114.1552511415525,166.30096089502737,-7.107825541200138e-05,NO,114.2,0.002046068464341387,1.4522718477668093,0.002045411234178365,5.1855991642803995e-05
92.379434593707,204.91803278688522,5.004080849671098,-0.18851120883432673,NO,0.18917423113791598,204.91803278688522,7.613604711369582,-0.0003766413419570308,NO,204.5,0.002047795940405147,2.6095238616984844,0.0020456724080211808,9.323418150347629e-05
78.4819988247582,364.963503649635,57.65247350172351,0.1592874842222432,NO,0.16108591990430168,364.963503649635,62.31223430663286,0.0002911913087443722,NO,366.3,0.0020525206074833682,4.659760804909347,0.0020457363843708804,0.00016674378490682195
80.5110642785404,651.315789473684,20.68105348276333,0.2674877155153817,NO,0.16652979382720134,651.315789473684,28.89969209584962,0.0005282540663538685,NO,653.6,0.0020684087997031803,8.218638613086291,0.002047165787539607,0.0002956809108090877
98.81344514009807,1190.4761904761904,157.47399454708273,0.035841209935088665,NO,0.2095871734094272,1190.4761904761904,172.19408995246255,8.692636566368053e-05,NO,1190.0,0.002121039025734542,14.720095405379823,0.0020514237516728383,0.0005389500345685794
99.02749167207588,2083.333333333333,62.53541191700644,-0.006894396550983331,NO,0.22443993625795702,2083.333333333333,87.08540201634902,1.907790277861643e-06,NO,2083.0,0.0022664406870081854,24.54999009934258,0.0020615524274805314,0.0009416766836209034
99.03059179354024,3030.30303030303,65.51482626160073,-0.004800799716327316,NO,0.24634193191097797,3030.30303030303,98.90048662028035,6.5525045634092415e-06,NO,3030.0,0.0024875336746906815,33.385660358679615,0.0020770548180495166,0.0013688195883816883
98.98918041844819,5555.555555555555,316.6468592162883,0.004631081106279661,NO,0.32664966970237913,5555.555555555555,6.11468512388283,2.7921301940993576e-05,NO,5556.0,0.003299852249726303,-310.53217409240546,0.002144491306567655,0.002508023505886557
