Point number,Y_y_EIS_ZReal_raw,Y_y_EIS_ZImaginary_raw,Y_y_EIS_ZMagnitude_raw,Y_y_EIS_ZPhase_raw,Y_y_EIS_ZPhase_raw_degree,P_y_Ripple_Frequency,P_y_Ripple_Amplitude,P_y_Ripple_Offset,P_y_Ripple_ControlMode,P_x_Goertzel_Frequency,P_x_Goertzel_DownsamplingRate,P_x_Goertzel_NumberOfPeriods,P_y_ScopeFrequencyHPCS,P_y_ScopeDurationHPCS,P_y_ScopePositionHPCS,Y_y_GoertzelVoltageReal,Y_y_GoertzelVoltageImaginary,Y_y_GoertzelCurrentReal,Y_y_GoertzelCurrentImaginary,Y_y_GoertzelCoefficient,Y_y_GoertzelProgress,StartTime,FinishTime,Duration[s],CurrentMagnitude,VoltageMagnitude,Y_y_EIS_ZReal,Y_y_EIS_ZImaginary,Y_y_EIS_ZMagnitude,Y_y_EIS_ZPhase
1.0,0.0001701428700471297,0.0005201809108257294,0.0005472995107993484,1.2546806335449219,71.88790493891955,0.0,0.0,70.0,0.0,5555.5556640625,2.0,7000.0,0.0,0.0,0.0,2406.828857421875,1499.4854736328125,3971160.0,-3328004.25,1.946089744567871,100.0,20250410-091958,20250410-092018,19.37082,5.181285944012168,2835.715400838827,0.0001701428700471297,0.0005201809108257294,0.0005472995306186183,71.8879057469533
2.0,7.700062997173518e-05,0.00030828462331555784,0.0003177554171998054,1.3260329961776733,75.9760941760629,0.0,0.0,70.0,0.0,3030.302978515625,2.0,5000.0,0.0,0.0,0.0,-100.60464477539062,1529.838134765625,4594293.5,1473859.25,1.9839096069335938,100.0,20250410-092018,20250410-092037,19.772175,4.824913870003569,1533.1425286429012,7.700062997173518e-05,0.00030828462331555784,0.00031775541850432616,75.97609364597459
3.0,5.144186070538126e-05,0.00021970881789457053,0.0002256506704725325,1.340802788734436,76.82234095384909,0.0,0.0,70.0,0.0,2083.333251953125,4.0,3000.0,0.0,0.0,0.0,-173.6791229248047,1070.2117919921875,4442428.5,1830631.625,1.9696155786514282,100.0,20250410-092037,20250410-092057,19.573406,4.804829146188487,1084.212948391163,-0.9999485581392946,0.00021970881789457053,0.9999485822765183,179.98741096460014
4.0,3.239607758587226e-05,0.00013097857299726456,0.00013492550351656973,1.3283239603042603,76.1073567515322,0.0,0.0,70.0,0.0,1190.4761962890625,4.0,2500.0,0.0,0.0,0.0,-382.8885803222656,461.5041809082031,2639019.75,3576023.5,1.990061640739441,100.0,20250410-092057,20250410-092117,20.173636,4.444363769252278,599.6580475045353,3.239607758587226e-05,-0.9998690214270027,0.9998690219518244,-89.99814359832745
5.0,2.304633380845189e-05,7.581945101264864e-05,7.924470264697447e-05,1.2757073640823364,73.09264785567217,0.0,0.0,70.0,0.0,653.5947875976562,10.0,1000.0,0.0,0.0,0.0,65.6419448852539,371.35528564453125,4724533.5,570318.4375,1.9812908172607422,100.0,20250410-092117,20250410-092137,19.671374,4.7588317802560205,377.112202274668,2.304633380845189e-05,7.581945101264864e-05,7.924470110909637e-05,73.09265081056773
6.0,1.5723746400908567e-05,4.943712701788172e-05,5.18774104421027e-05,1.262858271598816,72.35644908579323,0.0,0.0,70.0,0.0,366.30035400390625,10.0,500.0,0.0,0.0,0.0,163.50917053222656,-183.87730407714844,-2422424.75,-4077881.75,1.994117259979248,100.0,20250410-092137,20250410-092156,19.468752,4.743127790434875,246.06119523975505,1.5723746400908567e-05,4.943712701788172e-05,5.1877410581699775e-05,72.35645210580655
7.0,1.0682735592126846e-05,3.0320688892970793e-05,3.21475527016446e-05,1.2320517301559448,70.59136427972196,0.0,0.0,70.0,0.0,204.4989776611328,10.0,500.0,0.0,0.0,0.0,57.54120635986328,-140.83828735351562,-3537242.5,-3144012.75,1.9981658458709717,100.0,20250410-092156,20250410-092217,20.569216,4.732536389291562,152.13945449494622,1.0682735592126846e-05,3.0320688892970793e-05,3.2147550679260407e-05,70.59136680693409
8.0,6.352785931085236e-06,1.779673584678676e-05,1.8896605979534797e-05,1.2279313802719116,70.35528562124966,0.0,0.0,70.0,0.0,114.1552505493164,10.0,500.0,0.0,0.0,0.0,83.92865753173828,-31.640790939331055,-83796.0078125,-4745870.0,1.999428391456604,100.0,20250410-092217,20250410-092239,22.474757,4.7466097193497285,89.69481147951794,6.352785931085236e-06,1.779673584678676e-05,1.8896605406434758e-05,70.35528805117461
9.0,5.212394626141759e-06,1.1361368706275243e-05,1.2499990589276422e-05,1.1406631469726562,65.35518416763962,0.0,0.0,70.0,0.0,63.97952651977539,100.0,300.0,0.0,0.0,0.0,53.36403274536133,25.45357894897461,3630993.75,-3031136.5,1.9820712804794312,100.0,20250410-092239,20250410-092302,22.78061,4.7298947233708395,59.123638860946976,5.212394626141759e-06,1.1361368706275243e-05,1.2499990264738684e-05,65.35518163197094
10.0,3.956614364142297e-06,2.538907210691832e-06,4.701153557107318e-06,0.5705088973045349,32.6877519902102,0.0,0.0,70.0,0.0,35.727046966552734,100.0,300.0,0.0,0.0,0.0,18.378625869750977,-12.740472793579102,1826638.5,-4392174.0,1.994403600692749,100.0,20250410-092302,20250410-092329,26.496962,4.756868786918371,22.36277120269778,3.956614364142297e-06,2.538907210691832e-06,4.7011537999772064e-06,32.687753657009196
11.0,5.190184310777113e-06,2.977924168590107e-06,5.9838152992597315e-06,0.5209024548530579,29.845512201082155,0.0,0.0,70.0,0.0,19.984012603759766,100.0,300.0,0.0,0.0,0.0,11.432097434997559,25.593856811523438,3785708.75,2759112.75,1.9982484579086304,100.0,20250410-092329,20250410-092402,33.21427,4.684473706515933,28.031024923324555,5.190184310777113e-06,2.977924168590107e-06,5.9838152990972215e-06,29.845513071761168
12.0,6.336458682199009e-06,1.8239377368445275e-06,6.593743819394149e-06,0.28027135133743286,16.058365550062128,0.0,0.0,70.0,0.0,11.170687675476074,100.0,300.0,0.0,0.0,0.0,29.401596069335938,1.7760897874832153,4359534.5,-974586.9375,1.9994527101516724,100.0,20250410-092402,20250410-092447,45.051571,4.467142347791917,29.45519217994669,6.336458682199009e-06,1.8239377368445275e-06,6.593743815094786e-06,16.058364778745247
13.0,3.5776320146396756e-06,-1.4599780797652784e-06,3.864063728542533e-06,-0.3874567449092865,-22.1996362271776,0.0,0.0,70.0,0.0,6.245706081390381,250.0,100.0,0.0,0.0,0.0,-14.766884803771973,9.174674034118652,-4435427.0,754422.9375,1.9989306926727295,100.0,20250410-092447,20250410-092519,32.215425,4.499129542584336,17.384922503140547,3.5776320146396756e-06,-1.4599780797652784e-06,3.864063512103528e-06,-22.199636171308725
