Point number,Y_y_EIS_ZReal_raw,Y_y_EIS_ZImaginary_raw,Y_y_EIS_ZMagnitude_raw,Y_y_EIS_ZPhase_raw,Y_y_EIS_ZPhase_raw_degree,P_y_Ripple_Frequency,P_y_Ripple_Amplitude,P_y_Ripple_Offset,P_y_Ripple_ControlMode,P_x_Goertzel_Frequency,P_x_Goertzel_DownsamplingRate,P_x_Goertzel_NumberOfPeriods,P_y_ScopeFrequencyHPCS,P_y_ScopeDurationHPCS,P_y_ScopePositionHPCS,Y_y_GoertzelVoltageReal,Y_y_GoertzelVoltageImaginary,Y_y_GoertzelCurrentReal,Y_y_GoertzelCurrentImaginary,Y_y_GoertzelCoefficient,Y_y_GoertzelProgress,StartTime,FinishTime,Duration[s],CurrentMagnitude,VoltageMagnitude,Y_y_EIS_ZReal,Y_y_EIS_ZImaginary,Y_y_EIS_ZMagnitude,Y_y_EIS_ZPhase
1.0,0.0008079609833657742,0.0016488423570990562,0.001836159499362111,1.1151669025421143,63.894356968335735,0.0,0.0,40.0,0.0,5555.5556640625,2.0,7000.0,0.0,0.0,0.0,-9179.4970703125,2694.799560546875,-881919.625,5135082.0,1.946089744567871,100.0,20250410-135608,20250410-135628,19.393734,5.210263848566994,9566.875724885287,0.0008079609833657742,0.0016488423570990562,0.0018361595979667347,63.894355002854475
2.0,0.0007831906550563872,0.0009048251085914671,0.0011967021273449063,0.8573315143585205,49.12147741629953,0.0,0.0,40.0,0.0,3030.302978515625,2.0,5000.0,0.0,0.0,0.0,2652.316162109375,5147.8505859375,4703018.0,1139494.875,1.9839096069335938,100.0,20250410-135628,20250410-135647,19.779431,4.839093600921072,5790.9538660676335,0.0007831906550563872,0.0009048251085914671,0.001196702168171017,49.12147590718222
3.0,0.0007701307768002152,0.0006259065121412277,0.0009924013866111636,0.6824536323547363,39.10171284729654,0.0,0.0,40.0,0.0,2083.333251953125,4.0,3000.0,0.0,0.0,0.0,3123.3759765625,3549.738525390625,4698343.5,790793.75,1.9696155786514282,100.0,20250410-135647,20250410-135707,19.595326,4.764429283663607,4728.225998153024,-0.9992298692231998,0.0006259065121412277,0.9992300652536307,179.96411056360347
4.0,0.00075676100095734,0.0003628455742727965,0.0008392520830966532,0.44709062576293945,25.616405916077696,0.0,0.0,40.0,0.0,1190.4761962890625,4.0,2500.0,0.0,0.0,0.0,1208.3814697265625,3766.061279296875,3238409.5,3423827.0,1.990061640739441,100.0,20250410-135707,20250410-135727,20.195374,4.712736722502038,3955.1742484747424,0.00075676100095734,-0.9996371544257272,0.9996374408732287,-89.95662505841662
5.0,0.0007505218381993473,0.00020095043873880059,0.0007769582443870604,0.26161131262779236,14.989224086449052,0.0,0.0,40.0,0.0,653.5947875976562,10.0,1000.0,0.0,0.0,0.0,-2153.6669921875,-2941.6171875,-3656824.0,-2940323.25,1.9812908172607422,100.0,20250410-135727,20250410-135747,19.699428,4.692319531049283,3645.736303002915,0.0007505218381993473,0.00020095043873880059,0.0007769582411194592,14.98922406020053
6.0,0.0007439841283485293,0.000117214243800845,0.0007531610317528248,0.15626491606235504,8.953320176338421,0.0,0.0,40.0,0.0,366.30035400390625,10.0,500.0,0.0,0.0,0.0,3487.017578125,542.4417724609375,4685518.5,-9096.6201171875,1.994117259979248,100.0,20250410-135747,20250410-135806,19.49024,4.685527330230804,3528.956597446801,0.0007439841283485293,0.000117214243800845,0.0007531610466456194,8.953319840803223
7.0,0.0007380952010862529,7.141045352909714e-05,0.0007415416766889393,0.09644945710897446,5.526146828671927,0.0,0.0,40.0,0.0,204.4989776611328,10.0,500.0,0.0,0.0,0.0,142.9178009033203,3466.16796875,641967.3125,4633988.5,1.9981658458709717,100.0,20250410-135806,20250410-135827,20.596924,4.6782444836124935,3469.1131266367693,0.0007380952010862529,7.141045352909714e-05,0.0007415416230662898,5.526147043250389
8.0,0.0007366755744442344,4.0572427678853273e-05,0.0007377919973805547,0.05501944199204445,3.152381817308794,0.0,0.0,40.0,0.0,114.1552505493164,10.0,500.0,0.0,0.0,0.0,1823.2960205078125,2930.720703125,2685990.5,3830374.75,1.999428391456604,100.0,20250410-135827,20250410-135849,22.50202,4.6782812753753715,3451.598501872012,0.0007366755744442344,4.0572427678853273e-05,0.0007377919922786492,3.1523818887241917
9.0,0.0007363611948676407,1.986579445656389e-05,0.0007366291247308254,0.026971785351634026,1.545369466581305,0.0,0.0,40.0,0.0,63.97952651977539,100.0,300.0,0.0,0.0,0.0,1763.1402587890625,-2959.626953125,2284300.5,-4080886.5,1.9820712804794312,100.0,20250410-135849,20250410-135912,22.814034,4.6767150223402,3445.004393876259,0.0007363611948676407,1.986579445656389e-05,0.0007366291190933807,1.5453695310900448
10.0,0.0007345260237343609,1.5560475731035694e-05,0.000734690809622407,0.02118120901286602,1.2135938814216036,0.0,0.0,40.0,0.0,35.727046966552734,100.0,300.0,0.0,0.0,0.0,3290.626953125,-1001.8858642578125,4449040.5,-1458239.75,1.994403600692749,100.0,20250410-135912,20250410-135939,26.518348,4.681925302599382,3439.7675836649696,0.0007345260237343609,1.5560475731035694e-05,0.00073469082473377,1.2135938339546286
