Current_Amplitude,Current_Frequency,Current_Phase,Current_Offset,Current_ALIGNED,Voltage_Amplitude,Voltage_Frequency,Voltage_Phase,Voltage_Offset,Voltage_ALIGNED,Frequency,Impedance_amplitude,Impedance_phase,Impedance_real,Impedance_imag
35.326046302053115,12.540757461750687,256.1389946485401,-0.00031056947536422245,NO,0.018114452449041075,12.540757461750687,256.25793175442186,9.802200682512648e-06,NO,12.54,0.0005127789363733094,0.11893710588174145,0.0005127778315584828,1.0644483654204927e-06
35.342318777786375,19.896538002387583,327.359945599301,0.005386788571516636,NO,0.018124828124005985,19.896538002387583,327.6587232998673,1.1725465331130797e-05,NO,19.9,0.0005128364168170522,0.2987777005662906,0.0005128294441492672,2.6742526632656633e-06
35.358163411953655,31.545741324921135,289.6194293640152,-0.00198683236979557,NO,0.018136645615897052,31.545741324921135,290.1590026650954,8.95639520774901e-06,NO,31.54,0.0005129408279663512,0.5395733010801678,0.0005129180827693721,4.830461985929907e-06
35.2921013482946,49.01960784313725,70.14596220680049,-0.005328903756629893,NO,0.018111008086750726,49.01960784313725,71.00725997831498,6.679030486961828e-06,NO,49.0,0.0005131745459986868,0.8612977715144865,0.0005131165646497463,7.713996564757608e-06
35.05863442292328,79.2393026941363,218.2938043250486,0.01981280348391491,NO,0.017989005726267004,79.2393026941363,219.72428514338839,2.0295489427385116e-05,NO,79.18,0.0005131119914500947,1.4304808183397881,0.0005129520804196599,1.2809331092010976e-05
34.506764337367464,125.94458438287153,154.16465928741763,0.03750748207160673,NO,0.017713285242488132,125.94458438287153,156.45343825061758,2.7296405081581635e-05,NO,125.79,0.0005133279107049272,2.2887789631999453,0.0005129183959335814,2.050031759772453e-05
33.064896359308825,199.20318725099602,256.8846287521516,-0.01635732058057268,NO,0.016997303064676783,199.20318725099602,260.53803893609734,3.218258309625268e-06,NO,199.6,0.0005140588641189404,3.6534101839457094,0.0005130141744287412,3.275626069093264e-05
35.368711660587216,314.4654088050314,324.9900678696296,-0.0008265659920597637,NO,0.018243328495602285,314.4654088050314,330.69965535015655,8.538043811184781e-06,NO,314.46,0.0005158041568116138,5.7095874805269204,0.0005132452196611304,5.131542340406033e-05
22.59412420189346,495.049504950495,232.54135830887927,-0.07085764328574264,NO,0.011736117690013441,495.049504950495,241.5150392142148,-1.8123588024937234e-05,NO,497.51,0.0005194322906762599,8.973680905335527,0.0005130744889504466,8.102143781385603e-05
35.30353420820782,793.6507936507937,168.87207828533187,-0.0007060195182539102,NO,0.018702955841647575,793.6507936507937,182.9426530361985,1.91804133907937e-05,NO,793.65,0.00052977573665413,14.070574750866626,0.0005138808752932326,0.0001287974268193551
35.376624220699014,1234.567901234568,160.40971646906502,-0.0001002540268428888,NO,0.019517886957114906,1234.567901234568,181.66217209978785,7.170567838832648e-06,NO,1234.57,0.0005517170557414267,21.252455630722835,0.0005141960669031924,0.0001999852854018923
35.374612121540125,1960.78431372549,242.30795016187818,-0.0009204141397947965,NO,0.021396808459454037,1960.78431372549,273.9639798796599,-3.356698515180666e-07,NO,1960.78,0.0006048634084223698,31.656029717781735,0.0005148682736519326,0.00031744354401216777
35.37782330472399,3030.30303030303,358.80934000457006,0.006999355970918106,NO,0.025202262156216727,3030.30303030303,42.37231838406963,-3.70453021965935e-05,YES,3030.3,0.0007123745839063953,-316.43702162050045,0.0005161989528003735,0.0004909339965042223
35.38455524869494,4761.9047619047615,20.75946664077286,-0.00046755470624989116,NO,0.032978323811018416,4761.9047619047615,76.77228694337444,9.571272867293514e-06,NO,4761.91,0.0009319976916266238,56.01282030260158,0.00052099359422583,0.0007727776989361212
